election_year,tweet_id,created_at,content,lang,username,display_name,user_location,followers,following,statuses,verified,retweet_count,like_count,reply_count,place_name,country,source
2021,1439686114843893761,2021-09-19T20:21:32.000Z,@IeriStaff You are out of your mind. @JustinTrudeau literally can’t even walk the streets. If he goes out in public he is accosted by thousands of angry people. You can’t possibly think he could win. #VotePPC to save Canada from the rabid lunatics in the liberal party.,en,LegacyAmerican1,Legacy American,,534,775,17753,False,0,0,0,,,x_api
2021,1439686080064802823,2021-09-19T20:21:24.000Z,"@TheBlueGem3 Easy to say but when the alternative is Trudeau, there is no choice. If the Liberals want to remain relevant they will need to do much better. Trudeau will go down in history as one of the worst things that ever happened to Canada.",en,hbshmoe,HB Shmoe,,778,2123,25781,False,0,0,0,,,x_api
2021,1439686024641327105,2021-09-19T20:21:11.000Z,"To unseat Trudeau, Canadian Conservative leader seeks middle ground https://t.co/33YRRNjkRd",en,dn_nation_world,Detroit News: Nation,,1019,37,50918,False,0,0,0,,,x_api
2021,1439685994429644801,2021-09-19T20:21:03.000Z,"Trudeau, O’Toole blitz key battlegrounds ahead of Canada’s Monday election https://t.co/D8SaLqSG4P #World",en,24matins_uk,24matins.uk,"England, United Kingdom",2036,3,63949,False,0,0,0,,,x_api
2021,1439685984111661056,2021-09-19T20:21:01.000Z,"Liberals cut ties with Toronto candidate over dropped sexual assault charge, military review | CBC News https://t.co/RiJv05tw4j",en,KAMckin,Krista,Born Maritimer ,635,1049,59200,False,0,0,0,,,x_api
2021,1439685965052846084,2021-09-19T20:20:56.000Z,"@WilcoxParty @mikelecouteur @BillBlair @erinotoole No not the media, these are the people that asked two days of questions to Trudeau about Blackface and then it was all gone. Even though he can't remember how many times he wore blackface. O'Toole on Alberta is the most important question facing Canada today 😂🤣😆",en,WesternCanada1,WesternCanada,,1144,229,46764,False,0,2,2,,,x_api
2021,1439685953560489992,2021-09-19T20:20:54.000Z,"I hope the next time I see Trudeau after this election is in cuffs. To say he's an embarrassment to Canada is an understatement. Praying hard for the PPC @MaximeBernier @KyleFreePPC and all the other PPC Candidates.
We want our Canada back!! 🇨🇦",en,MissieD_,🇨🇦Missie🇨🇦,Canada,2835,4127,11985,False,4,7,0,,,x_api
2021,1439685892445114368,2021-09-19T20:20:39.000Z,"@HannahThibedeau @erinotoole Trudeau announced he has the endorsement of foreigners Obama and Clinton. You know, the 2 who just spent four years bitterly complaining about ""foreign interference and meddling"" in elections? O'Toole gets his support IN Canada, from CANADIANS.",en,Kauwhaka,Richard Lauder,Canada,1725,2433,123586,False,0,0,0,,,x_api
2021,1439685881011523591,2021-09-19T20:20:36.000Z,Vote for Canada not for Trudeau,en,inky_mark,Inky Mark,"dauphin,manitoba",20138,0,507456,False,143,540,21,,,x_api
2021,1439685874288103439,2021-09-19T20:20:35.000Z,"PM Trudeau, Deputy PM &amp; Environment Minister:
Canada is the only G7 country whose emissions continue to rise every year. $23B since 2018 to fossil fuels. Climate emergency, anyone?
@JonathanWNV
@DeputyPM_Canada
@cafreeland
@oncleanair
@bobluker203
@JustinTrudeau
@theJagmeetSingh",en,NaomiLuker,Naomi Luker,,5,70,396,False,1,2,0,,,x_api
2021,1439685826481311744,2021-09-19T20:20:23.000Z,"@brooklinjim @SGirardau @cathmckenna Catherine will be remembered as the Liberal cabinet minister who did the most damage to the Canadian taxpayer. That’s not a small achievement with the likes of Trudeau, Freeland and the rest of the odious pack!",en,BobRoy22759501,Fact Checker 01,Canada,1986,2852,31184,False,0,0,0,,,x_api
2021,1439685795112230913,2021-09-19T20:20:16.000Z,"François Lapointe, candidat du Parti libéral du Canada dans Montmagny-L’Islet-Kamouraska-Rivière-du-Loup | https://t.co/UUwmSec64g https://t.co/ZB10kbXDPr",fr,vuduquebec,normand jean,Bas Laurentien,10651,11263,744209,False,0,0,0,,,x_api
2021,1439685783594602496,2021-09-19T20:20:13.000Z,Justin Trudeau and rival warn against vote split in tight Canada election https://t.co/F9oP1g4yRG,en,BusinessLiveSA,BusinessLIVE,Johannesburg,48783,515,239166,False,0,1,0,,,x_api
2021,1439685693194874883,2021-09-19T20:19:51.000Z,"Canada goes to the polls on Monday where Justine Trudeau could lose to the Conservatives. Sunday was the last day of parliamentary voting in Russia and there have been so many reports of irregularities, especially with stuffing the boxes with ballot slips. https://t.co/IQAQgpWGJP",en,James_J_Marlow,James J. Marlow,Jerusalem and London ,13230,2193,36073,False,0,1,1,,,x_api
2021,1439685633287540749,2021-09-19T20:19:37.000Z,"@JustinTrudeau Sick of bots &amp; trolls. I want to see positive tweets to show why we #VoteLiberalMajority to support the best PM &amp; @liberal_party for all they do. Let’s keep moving forward Canada!
🇨🇦✌️🇨🇦
#Elxn44 

#ISupportLiberals because they care for all Canadians. https://t.co/AhrVFdhPOc",en,nettangel7,Nettangel,Ontario Canada,1795,2539,18674,False,0,0,0,,,x_api
2021,1439685555357315076,2021-09-19T20:19:19.000Z,"@JustinTrudeau In 2015 Canada had a climate plan, in fact you adopted it. It was a plan in keeping with the Liberals Kyoto plan, with one key difference. Harper lied less.
The Liberal plan; big promises, little delivery.",en,csrevolution0,JP🇨🇦🇺🇦,,216,698,16763,False,0,0,0,,,x_api
2021,1439685548336091138,2021-09-19T20:19:17.000Z,"""Wellon said she’ll likely cast a ballot for the NDP... the party’s promise to roll out a universal pharmacare program won her over.""

""Carrier said he also sees Singh as being “a little more connected with people and their needs than Justin Trudeau.”""

https://t.co/Si2J8GU0Ub",en,NDP,NDP,Canada,247723,1235,15254,False,20,42,9,,,x_api
